caliente,warm
frío,kalt
La Comida,das Essen
El Amor,die Liebe
El Fuego,das Feuer
El Corazón,das Herz
La Casa,das Haus
La Escalera,die Treppe
La Calle,die Straße
El Colegio,die Schule
El Estudiante,der Schüler
El Profesor,der Lehrer
La Mano,die Hand
Los Dedos,der Finger
La Música,die Musik
El Perro,der Hund
La Lámpara,die Lampe
La Mesa,der Tisch
La Silla,der Stuhl
Hola,Hallo
Adiós,Auf Wiedersehen
La Felicidad,das Glück
La Amistad,die Freundschaft
La Libertad,die Freiheit
La Paz,der Frieden
La Guerra,der Krieg
El Tiempo,die Zeit
El Día,der Tag
La Noche,die Nacht
El Agua,das Wasser
La Tierra,die Erde
El Aire,die Luft
El Gato,die Katze
El Caballo,das Pferd
La Casa,das Haus
La Familia,die Familie
La Escuela,die Schule
El Trabajo,die Arbeit
La Ciudad,die Stadt
La Naturaleza,die Natur
El Sol,die Sonne
La Luna,der Mond
La Estrella,der Stern
El Mar,das Meer
El Río,der Fluss
La Montaña,der Berg
El Valle,das Tal
El Árbol,der Baum
La Flor,die Blume
La Fruta,das Obst
La Verdura,das Gemüse
La Carne,das Fleisch
El Pescado,der Fisch
El Pan,das Brot
La Leche,die Milch
El Huevo,das Ei
La Azúcar,der Zucker
La Sal,das Salz
La Pimienta,der Pfeffer
El Café,der Kaffee
El Té,der Tee
El Cielo,der Himmel
El Viento,der Wind
La Lluvia,der Regen
La Nieve,der Schnee
El Hielo,das Eis
El Calor,die Wärme
El Frío,die Kälte
El Puente,die Brücke
El Libro,das Buch
La Página,die Seite
La Palabra,das Wort
La Letra,der Buchstabe
El Número,die Nummer
La Clase,die Klasse
El Profesor,der Lehrer
El Escritorio,der Schreibtisch
La Computadora,der Computer
El Teléfono,das Telefon
La Película,der Film
La Canción,das Lied
El Instrumento,das Instrument
El Juego,das Spiel
El Deporte,der Sport
El Fútbol,der Fußball
El Baloncesto,der Basketball
La Natación,das Schwimmen
La Bicicleta,das Fahrrad
El Coche,das Auto
El Autobús,der Bus
El Tren,der Zug
El Avión,das Flugzeug
El Aeropuerto,der Flughafen
La Estación,der Bahnhof
El Viaje,die Reise
Las Vacaciones,der Urlaub
El Hotel,das Hotel
El Restaurante,das Restaurant
El Mercado,der Markt
La Tienda,der Laden
El Dinero,das Geld
El Precio,der Preis
La Compra,der Einkauf
La Venta,der Verkauf
Los Lentes,die Brille
El Televisor,der Fernseher
La Radio,das Radio
El Celular,das Handy
El Anillo,der Ring
El Conejo,das Kaninchen
El Asilo,das Altersheim
La Explotación,der Abbau
Idioma oficial,die Amtssprache
cultivar,anbauen
